epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,635.666,0.87329,0.42812,1.06232,0.95251,0.88985,0.95216,0.62796,1.25985,0.67152,1.34657,0.007921,0.007921,0.007921
44,649.189,0.87111,0.42468,1.06821,0.95144,0.8836,0.94969,0.64818,1.18887,0.63909,1.28487,0.0078715,0.0078715,0.0078715
45,663.787,0.8573,0.42133,1.06956,0.95391,0.88713,0.9509,0.63732,1.22538,0.63978,1.32807,0.007822,0.007822,0.007822
46,677.225,0.85568,0.41533,1.06053,0.95444,0.8864,0.94943,0.61233,1.3103,0.66472,1.38154,0.0077725,0.0077725,0.0077725
47,690.931,0.85157,0.41101,1.05388,0.95374,0.89625,0.95507,0.62289,1.26191,0.64944,1.36469,0.007723,0.007723,0.007723
48,704.258,0.8491,0.41345,1.06104,0.95143,0.89112,0.95424,0.63257,1.25923,0.65473,1.33266,0.0076735,0.0076735,0.0076735
49,717.743,0.84523,0.41185,1.05762,0.9545,0.88323,0.94691,0.62194,1.26792,0.6591,1.36422,0.007624,0.007624,0.007624
50,731.3,0.84606,0.41139,1.0594,0.95511,0.89486,0.95545,0.63847,1.21006,0.63279,1.3079,0.0075745,0.0075745,0.0075745
51,744.716,0.83217,0.402,1.04989,0.95644,0.89309,0.95396,0.62215,1.29086,0.65379,1.36515,0.007525,0.007525,0.007525
52,758.156,0.83444,0.40172,1.05136,0.95453,0.89725,0.95396,0.6293,1.25358,0.64259,1.33967,0.0074755,0.0074755,0.0074755
53,771.715,0.84006,0.40443,1.03978,0.95333,0.89103,0.9517,0.6402,1.20729,0.63075,1.30891,0.007426,0.007426,0.007426
54,785.233,0.83123,0.39912,1.05149,0.95304,0.89164,0.95467,0.64952,1.21419,0.62384,1.31201,0.0073765,0.0073765,0.0073765
55,798.916,0.82492,0.39607,1.04928,0.9598,0.88812,0.95339,0.65801,1.19343,0.61656,1.29448,0.007327,0.007327,0.007327
56,812.423,0.8191,0.39209,1.03595,0.95222,0.8882,0.95177,0.64455,1.19243,0.61815,1.30139,0.0072775,0.0072775,0.0072775
57,825.826,0.81697,0.39372,1.04927,0.95734,0.90521,0.95994,0.64234,1.2297,0.62171,1.30791,0.007228,0.007228,0.007228
58,839.376,0.82182,0.39258,1.03551,0.95149,0.88502,0.95036,0.66,1.15712,0.60423,1.26708,0.0071785,0.0071785,0.0071785
59,852.976,0.81515,0.38964,1.03475,0.95875,0.89697,0.95544,0.65049,1.20001,0.60809,1.30426,0.007129,0.007129,0.007129
60,866.188,0.8262,0.3952,1.03801,0.95204,0.8876,0.95028,0.64173,1.21174,0.63138,1.31893,0.0070795,0.0070795,0.0070795
61,879.709,0.81161,0.39158,1.03007,0.95808,0.90167,0.95802,0.64657,1.20723,0.61645,1.31422,0.00703,0.00703,0.00703
62,892.828,0.79761,0.38167,1.04463,0.95061,0.88644,0.94972,0.64563,1.20154,0.62763,1.31016,0.0069805,0.0069805,0.0069805
63,906.189,0.81995,0.38971,1.03613,0.95472,0.88817,0.95195,0.64728,1.206,0.61503,1.30402,0.006931,0.006931,0.006931
64,919.688,0.80548,0.38825,1.03007,0.95584,0.88981,0.95238,0.63036,1.25067,0.6348,1.3446,0.0068815,0.0068815,0.0068815
65,933.189,0.80114,0.38155,1.02719,0.95325,0.8925,0.95351,0.64872,1.20986,0.6225,1.31017,0.006832,0.006832,0.006832
66,946.475,0.80166,0.37933,1.03134,0.95289,0.88859,0.95166,0.65259,1.20241,0.62052,1.30693,0.0067825,0.0067825,0.0067825
67,959.915,0.80009,0.3768,1.0196,0.95641,0.89514,0.95561,0.65481,1.19547,0.61202,1.29674,0.006733,0.006733,0.006733
68,973.34,0.7949,0.37543,1.01762,0.95354,0.88926,0.95345,0.65678,1.18541,0.61436,1.29457,0.0066835,0.0066835,0.0066835
69,986.88,0.79134,0.37602,1.02395,0.95733,0.89747,0.95728,0.65307,1.2009,0.59961,1.30322,0.006634,0.006634,0.006634
70,1002.77,0.79589,0.37634,1.02801,0.95818,0.90021,0.95747,0.65881,1.18251,0.59139,1.29484,0.0065845,0.0065845,0.0065845
71,1017.13,0.79003,0.37315,1.02227,0.95152,0.8922,0.9533,0.65554,1.18469,0.60723,1.28648,0.006535,0.006535,0.006535
72,1032.7,0.77921,0.36967,1.02836,0.9593,0.90902,0.96187,0.65316,1.21202,0.59728,1.31703,0.0064855,0.0064855,0.0064855
73,1046.56,0.78895,0.37464,1.02069,0.95851,0.90288,0.95965,0.66043,1.17798,0.59066,1.28496,0.006436,0.006436,0.006436
74,1062.44,0.78262,0.36806,1.02354,0.95613,0.90754,0.96089,0.64279,1.22727,0.61822,1.32162,0.0063865,0.0063865,0.0063865
75,1079.43,0.79283,0.37338,1.01139,0.94823,0.89183,0.95171,0.6513,1.19836,0.61356,1.30063,0.006337,0.006337,0.006337
76,1093.22,0.77835,0.36653,1.01439,0.95502,0.90029,0.95684,0.65549,1.20202,0.60259,1.31025,0.0062875,0.0062875,0.0062875
77,1107.95,0.78067,0.36869,1.01376,0.96197,0.89575,0.956,0.66091,1.18148,0.59961,1.29948,0.006238,0.006238,0.006238
78,1124.41,0.77432,0.36374,1.02079,0.95815,0.89896,0.95746,0.66898,1.15607,0.57979,1.26899,0.0061885,0.0061885,0.0061885
79,1144.23,0.76699,0.36206,1.01112,0.95695,0.89948,0.95774,0.64845,1.22352,0.60892,1.32141,0.006139,0.006139,0.006139
80,1158.39,0.77426,0.36506,1.00496,0.9518,0.89737,0.95549,0.64162,1.23361,0.61619,1.33028,0.0060895,0.0060895,0.0060895
81,1172.46,0.77006,0.36117,1.01036,0.95747,0.89626,0.95559,0.65983,1.18656,0.6022,1.29805,0.00604,0.00604,0.00604
82,1187.98,0.77068,0.35967,1.00909,0.95563,0.89501,0.95418,0.64261,1.23305,0.61406,1.33891,0.0059905,0.0059905,0.0059905
83,1201.64,0.76469,0.35799,1.0153,0.96191,0.90061,0.9586,0.65865,1.19566,0.58506,1.30413,0.005941,0.005941,0.005941
84,1215.19,0.77321,0.36227,1.01445,0.96043,0.89248,0.955,0.66311,1.17664,0.59202,1.28732,0.0058915,0.0058915,0.0058915
85,1229.41,0.77175,0.36036,1.01901,0.95722,0.89787,0.95595,0.66951,1.14441,0.5831,1.26889,0.005842,0.005842,0.005842
86,1243.38,0.75988,0.35712,1.01033,0.95688,0.89376,0.95395,0.66067,1.16415,0.58714,1.28,0.0057925,0.0057925,0.0057925
87,1256.87,0.76259,0.35696,1.01219,0.96046,0.90396,0.95741,0.65498,1.19302,0.58584,1.31223,0.005743,0.005743,0.005743
88,1270.25,0.76356,0.35628,0.99796,0.95756,0.90119,0.95668,0.65432,1.20343,0.58431,1.30815,0.0056935,0.0056935,0.0056935
89,1283.73,0.77194,0.35934,1.00066,0.95987,0.89787,0.95616,0.66245,1.17171,0.58182,1.28472,0.005644,0.005644,0.005644
90,1297.68,0.75357,0.35221,1.01253,0.95876,0.90701,0.96115,0.66927,1.15795,0.57072,1.27254,0.0055945,0.0055945,0.0055945
91,1311.33,0.75283,0.35074,1.00463,0.95127,0.89636,0.95437,0.66108,1.18598,0.59564,1.28659,0.005545,0.005545,0.005545
92,1325,0.7506,0.35182,1.0085,0.95809,0.90185,0.95729,0.66505,1.16702,0.57738,1.2879,0.0054955,0.0054955,0.0054955
93,1338.22,0.75882,0.35387,1.00307,0.95828,0.90046,0.95701,0.66527,1.16548,0.58259,1.28858,0.005446,0.005446,0.005446
94,1351.89,0.75506,0.3511,1.00467,0.95742,0.8948,0.95293,0.65664,1.17575,0.59531,1.29303,0.0053965,0.0053965,0.0053965
95,1365.48,0.75353,0.34764,1.0014,0.95662,0.89845,0.95595,0.66738,1.15773,0.58134,1.28593,0.005347,0.005347,0.005347
96,1379.04,0.75133,0.35084,0.99528,0.95698,0.89602,0.95378,0.6679,1.15837,0.59327,1.28071,0.0052975,0.0052975,0.0052975
97,1392.35,0.74923,0.34794,1.00753,0.9609,0.90805,0.96036,0.66164,1.17584,0.5751,1.3018,0.005248,0.005248,0.005248
98,1405.48,0.7541,0.3512,0.99796,0.9624,0.90528,0.95811,0.66358,1.16772,0.5774,1.28697,0.0051985,0.0051985,0.0051985
99,1419.03,0.75167,0.35144,1.0044,0.95757,0.90031,0.95665,0.66182,1.17534,0.58761,1.29429,0.005149,0.005149,0.005149
100,1432.6,0.73877,0.34572,1.00549,0.95718,0.90465,0.95857,0.66978,1.16458,0.5753,1.28078,0.0050995,0.0050995,0.0050995
101,1446.37,0.74973,0.34697,0.99975,0.95471,0.90785,0.959,0.66871,1.16335,0.5734,1.28751,0.00505,0.00505,0.00505
